IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,UTM_Nord,UTM_Est,lat,lng
20427,Biossido di Zolfo,µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,N         ,12/20/2017,5041567,540293,45.52647322,9.515991
20430,PM10 (SM2005),µg/m³,501,Milano v.Marche,129,MI,Milano,N         ,,5038105,514918,45.49631883,9.19093444
20443,Biossido di Azoto,µg/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N         ,03/16/2007,5084478,538586,45.91279097,9.49754261
20487,Monossido di Carbonio,mg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N         ,06/01/2021,5030184,631718,45.41277633,10.68336214
20488,Particelle sospese PM2.5,µg/m³,564,Erba v. Battisti,279,CO,Erba,N         ,10/22/2020,5072803,517232,45.8085738,9.2217792
20491,Biossido di Azoto,µg/m³,1800,Brescia S.Polo,124,BS,Brescia,N         ,,5040227,598141,45.5086668,10.25637025
20495,Biossido di Azoto,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N         ,,5043948,594556,45.54264789,10.21120522
20497,Benzene,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N         ,,5043948,594556,45.54264789,10.21120522
20530,Particelle sospese PM2.5,µg/m³,501,Milano v.Marche,129,MI,Milano,N         ,01/01/2022,5038105,514918,45.49631883,9.19093444
20531,PM10 (SM2005),µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N         ,,5077479,530713,45.85019631,9.39558125
20532,PM10 (SM2005),µg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N         ,,5113078,567173,46.16797103,9.87014581
20569,Monossido di Carbonio,mg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N         ,01/03/2023,5043948,594556,45.54264789,10.21120522
20570,Ozono,µg/m³,659,Odolo v.Praes,349,BS,Odolo,N         ,01/03/2023,5055661,608260,45.64605175,10.38929672
20572,PM10 (SM2005),µg/m³,564,Erba v. Battisti,279,CO,Erba,N         ,,5072803,517232,45.8085738,9.2217792
20574,Biossido di Zolfo,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,N         ,,5014273,499103,45.28196356,8.98857592
30158,Particelle sospese PM2.5,µg/m³,649,Brescia v.Broletto,149,BS,Brescia,N         ,12/13/2013,5043674,595467,45.54006456,10.22281989
30163,Biossido di Azoto,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N         ,12/13/2013,5040636,593101,45.51306214,10.19190606
30165,Ozono,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N         ,12/13/2013,5040636,593101,45.51306214,10.19190606
30166,Benzene,µg/m³,652,Brescia v.Turati,154,BS,Brescia,N         ,01/01/2016,5043626,596168,45.53953611,10.23178722
